wikidata_id,scientific_name,common_name,indoor_outdoor,temp_min,temp_max,soil_ph_min,soil_ph_max,soil_humidity,air_humidity,light,watering_type,watering_freq,mature_height_min,mature_height_max,pot_size_min,pot_size_max,plant_category,toxic_to,source_url,source_name
Q157417,Monstera deliciosa,Swiss Cheese Plant,Indoor,18,29,5.5,7.0,ModerateSoil,HighHumidity,PartialShade,Pour,Regular,91,457,15,30,Vine;Tropical,Human;Dog;Cat,https://www.thespruce.com/how-to-grow-monstera-deliciosa-5072671,The Spruce
Q1535705,Dypsis lutescens,Areca Palm,Indoor;Outdoor,21,27,5.5,7.0,MoistSoil,HighHumidity,BrightIndirect,Pour,Regular,183,244,20,35,Tropical,NonToxic,https://www.thespruce.com/grow-areca-palms-indoors-1902876,The Spruce
Q738915,Dieffenbachia spp.,Dumb Cane,Indoor,18,24,5.5,7.0,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,91,305,15,30,Herb;Tropical,Human;Dog;Cat,https://www.thespruce.com/dumb-cane-dieffenbachia-definition-1902751,The Spruce
Q11684614,Aglaonema commutatum,Chinese Evergreen,Indoor,18,27,5.5,6.5,ModerateSoil,HighHumidity,BrightIndirect,Pour,Regular,30,91,10,20,Tropical,Dog;Cat,https://www.thespruce.com/grow-aglaonema-houseplants-1902734,The Spruce
Q65936984,Dracaena trifasciata,Snake Plant,Indoor,21,32,6.0,7.5,DrySoil,LowHumidity,BrightIndirect,Pour,Infrequent,61,152,10,20,Succulent,Dog;Cat,https://www.thespruce.com/snake-plant-care-overview-1902772,The Spruce
Q148904,Strelitzia reginae,Bird of Paradise,Indoor;Outdoor,15,30,5.5,6.5,MoistSoil,HighHumidity,BrightIndirect,Pour,Frequent,107,183,20,40,Tropical,Dog;Cat,https://www.thespruce.com/how-to-grow-strelitzia-1902742,The Spruce
Q146290,Howea forsteriana,Kentia Palm,Indoor,13,38,5.5,7.5,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,61,1220,20,45,Tree;Tropical,NonToxic,https://www.thespruce.com/grow-kentia-palms-1902880,The Spruce
Q133690,Dracaena fragrans,Corn Plant,Indoor,16,24,6.0,6.5,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,122,183,15,30,Shrub;Tropical,Dog;Cat,https://www.thespruce.com/grow-dracaena-fragrans-indoors-1902748,The Spruce
Q161809,Epipremnum aureum,Marble Queen Pothos,Indoor,10,30,5.5,6.5,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,305,500,10,20,Vine;Tropical,Human;Dog;Cat,https://www.thespruce.com/marble-queen-pothos-plant-profile-5206131,The Spruce
Q227997,Colocasia esculenta,Elephant Ear,Indoor;Outdoor,16,30,5.5,7.0,WetSoil,HighHumidity,BrightIndirect,Pour,Frequent,91,183,20,40,Tropical,Human;Dog;Cat;Horse,https://www.thespruce.com/elephant-ear-plants-2132884,The Spruce
Q1498748,Ficus lyrata,Fiddle Leaf Fig,Indoor,15,24,6.0,7.0,ModerateSoil,MediumHumidity,BrightIndirect,Pour,Regular,91,305,15,35,Tree;Tropical,Dog;Cat,https://www.thespruce.com/grow-fiddle-leaf-fig-indoors-1902778,The Spruce
Q149735,Sansevieria cylindrica,Cylindrical Snake Plant,Indoor,16,32,6.0,7.5,DrySoil,LowHumidity,FullSun,Pour,Infrequent,30,91,10,15,Succulent,Dog;Cat,https://www.thespruce.com/grow-sansevieria-cylindrica-1902879,The Spruce
Q80079,Aloe vera,Aloe Vera,Indoor;Outdoor,10,30,6.0,7.5,DrySoil,LowHumidity,FullSun,Pour,Infrequent,30,91,10,15,Succulent,Dog;Cat,https://www.thespruce.com/grow-aloe-vera-indoors-1902767,The Spruce
Q2783756,Echeveria elegans,Mexican Snowball,Indoor;Outdoor,10,27,6.0,7.5,DrySoil,LowHumidity,FullSun,Spray,Infrequent,5,15,5,10,Succulent,NonToxic,https://www.thespruce.com/echeveria-elegans-2132886,The Spruce
